stdoutredi ok!
r:0:c:c:c:c:b13:b55:b578:f - 0.843638659
r:0:c:c:c:c:b13:b55:b578:c - 0.156360462
r:0:c:c:c:c:b22 - 0.0867601261
r:0:c:c:c:c:b22:f - 0.370660305
r:0:c:c:c:c:b22:c - 0.465108454
r:0:c:c:c:c:b22:b75 - 0.164230525
r:0:c:c:c:c:b22:b75:f - 0.557398677
r:0:c:c:c:c:b22:b75:c - 0.361204177
r:0:c:c:c:c:b22:b75:b191 - 0.0262809359
r:0:c:c:c:c:b22:b75:b191:f - 0.563451707
r:0:c:c:c:c:b22:b75:b191:c - 0.330802143
r:0:c:c:c:c:b22:b75:b191:b578 - 0.105746076
r:0:c:c:c:c:b22:b75:b191:b578:f - 0.656968594
r:0:c:c:c:c:b22:b75:b191:b578:c - 0.343030781
r:0:c:c:c:c:b22:b75:b578 - 0.0551156476
r:0:c:c:c:c:b22:b75:b578:f - 0.813001931
r:0:c:c:c:c:b22:b75:b578:c - 0.186998039
r:0:c:c:c:c:b31 - 0.072226949
r:0:c:c:c:c:b31:f - 0.451000571
r:0:c:c:c:c:b31:c - 0.431838214
r:0:c:c:c:c:b31:b95 - 0.117159605
r:0:c:c:c:c:b31:b95:f - 0.588286936
r:0:c:c:c:c:b31:b95:c - 0.377174765
r:0:c:c:c:c:b31:b95:b235 - 0.0114466846
r:0:c:c:c:c:b31:b95:b235:f - 0.558791697
r:0:c:c:c:c:b31:b95:b235:c - 0.321048528
r:0:c:c:c:c:b31:b95:b235:b578 - 0.120159738
r:0:c:c:c:c:b31:b95:b235:b578:f - 0.594115078
r:0:c:c:c:c:b31:b95:b235:b578:c - 0.405885398
r:0:c:c:c:c:b31:b95:b578 - 0.0230918732
r:0:c:c:c:c:b31:b95:b578:f - 0.773128152
r:0:c:c:c:c:b31:b95:b578:c - 0.226871818
r:0:c:c:c:c:b44 - 0.0445251055
r:0:c:c:c:c:b44:f - 0.536837459
r:0:c:c:c:c:b44:c - 0.387080938
r:0:c:c:c:c:b44:b123 - 0.0670010224
r:0:c:c:c:c:b44:b123:f - 0.607951522
r:0:c:c:c:c:b44:b123:c - 0.296737671
r:0:c:c:c:c:b44:b123:b297 - 0.0191588402
r:0:c:c:c:c:b44:b123:b297:f - 0.580480158
r:0:c:c:c:c:b44:b123:b297:c - 0.298897356
r:0:c:c:c:c:b44:b123:b297:b578 - 0.120622121
r:0:c:c:c:c:b44:b123:b297:b578:f - 0.512175739
r:0:c:c:c:c:b44:b123:b297:b578:c - 0.487823695
r:0:c:c:c:c:b44:b123:b578 - 0.0761507899
r:0:c:c:c:c:b44:b123:b578:f - 0.723876238
r:0:c:c:c:c:b44:b123:b578:c - 0.276123732
r:0:c:c:c:c:b44:b578 - 0.00908059441
r:0:c:c:c:c:b44:b578:f - 0.872448266
r:0:c:c:c:c:b44:b578:c - 0.127552539
r:0:c:c:c:c:b66 - 0.0418161862
r:0:c:c:c:c:b66:f - 0.630959868
r:0:c:c:c:c:b66:c - 0.324876249
r:0:c:c:c:c:b66:b172 - 0.030712964
r:0:c:c:c:c:b66:b172:f - 0.642531097
r:0:c:c:c:c:b66:b172:c - 0.259880751
r:0:c:c:c:c:b66:b172:b578 - 0.0975888893
r:0:c:c:c:c:b66:b172:b578:f - 0.63161701
r:0:c:c:c:c:b66:b172:b578:c - 0.368383944
r:0:c:c:c:c:b66:b578 - 0.0134517569
r:0:c:c:c:c:b66:b578:f - 0.84778738
r:0:c:c:c:c:b66:b578:c - 0.152212992
r:0:c:c:c:b13 - 0.0685306415
r:0:c:c:c:b13:f - 0.279161692
r:0:c:c:c:b13:c - 0.611670554
r:0:c:c:c:b13:c:c - 0.982784688
r:0:c:c:c:b13:c:c:c - 0.524901748
r:0:c:c:c:b13:c:c:b33 - 0.00547286635
r:0:c:c:c:b13:c:c:b33:f - 0.223504752
r:0:c:c:c:b13:c:c:b33:c - 0.585657179
r:0:c:c:c:b13:c:c:b33:b99 - 0.167997286
r:0:c:c:c:b13:c:c:b33:b99:f - 0.501099706
r:0:c:c:c:b13:c:c:b33:b99:c - 0.371197522
r:0:c:c:c:b13:c:c:b33:b99:b244 - 0.0156387631
r:0:c:c:c:b13:c:c:b33:b99:b244:f - 0.561029196
r:0:c:c:c:b13:c:c:b33:b99:b244:c - 0.307713658
r:0:c:c:c:b13:c:c:b33:b99:b244:b578 - 0.131255925
r:0:c:c:c:b13:c:c:b33:b99:b244:b578:f - 0.517365694
r:0:c:c:c:b13:c:c:b33:b99:b244:b578:c - 0.482634544
r:0:c:c:c:b13:c:c:b33:b99:b578 - 0.112063579
r:0:c:c:c:b13:c:c:b33:b99:b578:f - 0.764434695
r:0:c:c:c:b13:c:c:b33:b99:b578:c - 0.235565156
r:0:c:c:c:b13:c:c:b33:b578 - 0.0228408035
r:0:c:c:c:b13:c:c:b33:b578:f - 0.869881451
r:0:c:c:c:b13:c:c:b33:b578:c - 0.130116761
r:0:c:c:c:b13:c:c:b48 - 0.0466615446
r:0:c:c:c:b13:c:c:b48:f - 0.360273242
r:0:c:c:c:b13:c:c:b48:c - 0.492789865
r:0:c:c:c:b13:c:c:b48:b132 - 0.121770896
r:0:c:c:c:b13:c:c:b48:b132:f - 0.542216897
r:0:c:c:c:b13:c:c:b48:b132:c - 0.33346203
r:0:c:c:c:b13:c:c:b48:b132:b317 - 0.0145488102
r:0:c:c:c:b13:c:c:b48:b132:b317:f - 0.571369708
r:0:c:c:c:b13:c:c:b48:b132:b317:c - 0.298182189
r:0:c:c:c:b13:c:c:b48:b132:b317:b578 - 0.130447417
r:0:c:c:c:b13:c:c:b48:b132:b317:b578:f - 0.431454748
r:0:c:c:c:b13:c:c:b48:b132:b317:b578:c - 0.568545282
r:0:c:c:c:b13:c:c:b48:b132:b578 - 0.109771647
r:0:c:c:c:b13:c:c:b48:b132:b578:f - 0.710418046
r:0:c:c:c:b13:c:c:b48:b132:b578:c - 0.289583117
r:0:c:c:c:b13:c:c:b48:b578 - 0.0251653437
r:0:c:c:c:b13:c:c:b48:b578:f - 0.850718498
r:0:c:c:c:b13:c:c:b48:b578:c - 0.149282232
r:0:c:c:c:b13:c:c:b62 - 0.118746348
r:0:c:c:c:b13:c:c:b62:f - 0.442221701
r:0:c:c:c:b13:c:c:b62:c - 0.444445282
r:0:c:c:c:b13:c:c:b62:b163 - 0.0832210183
r:0:c:c:c:b13:c:c:b62:b163:f - 0.577710271
r:0:c:c:c:b13:c:c:b62:b163:c - 0.307406992
r:0:c:c:c:b13:c:c:b62:b163:b385 - 0.0118859317
r:0:c:c:c:b13:c:c:b62:b163:b385:f - 0.584749877
r:0:c:c:c:b13:c:c:b62:b163:b385:c - 0.268929005
r:0:c:c:c:b13:c:c:b62:b163:b385:b578 - 0.146320567
r:0:c:c:c:b13:c:c:b62:b163:b385:b578:f - 0.376746595
r:0:c:c:c:b13:c:c:b62:b163:b385:b578:c - 0.62325424
r:0:c:c:c:b13:c:c:b62:b163:b578 - 0.102996461
r:0:c:c:c:b13:c:c:b62:b163:b578:f - 0.664813995
r:0:c:c:c:b13:c:c:b62:b163:b578:c - 0.335186422
r:0:c:c:c:b13:c:c:b62:b578 - 0.0301117133
r:0:c:c:c:b13:c:c:b62:b578:f - 0.835380375
r:0:c:c:c:b13:c:c:b62:b578:c - 0.164618999
r:0:c:c:c:b13:c:c:b83 - 0.156863257
r:0:c:c:c:b13:c:c:b83:f - 0.531495869
r:0:c:c:c:b13:c:c:b83:c - 0.389547765
r:0:c:c:c:b13:c:c:b83:b209 - 0.0476798788
r:0:c:c:c:b13:c:c:b83:b209:f - 0.606676757
r:0:c:c:c:b13:c:c:b83:b209:c - 0.276689589
r:0:c:c:c:b13:c:c:b83:b209:b578 - 0.116632394
r:0:c:c:c:b13:c:c:b83:b209:b578:f - 0.610502839
r:0:c:c:c:b13:c:c:b83:b209:b578:c - 0.389497221
r:0:c:c:c:b13:c:c:b83:b578 - 0.0312774181
r:0:c:c:c:b13:c:c:b83:b578:f - 0.813826561
r:0:c:c:c:b13:c:c:b83:b578:c - 0.186175629
r:0:c:c:c:b13:c:c:b118 - 0.147353098
r:0:c:c:c:b13:c:c:b118:f - 0.628312349
r:0:c:c:c:b13:c:c:b118:c - 0.327407509
r:0:c:c:c:b13:c:c:b118:b286 - 0.0134095941
r:0:c:c:c:b13:c:c:b118:b286:f - 0.648373187
r:0:c:c:c:b13:c:c:b118:b286:c - 0.219907343
r:0:c:c:c:b13:c:c:b118:b286:b578 - 0.131719396
r:0:c:c:c:b13:c:c:b118:b286:b578:f - 0.480108857
r:0:c:c:c:b13:c:c:b118:b286:b578:c - 0.519891441
r:0:c:c:c:b13:c:c:b118:b578 - 0.0308705345
