stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 1
r:0:c:c - 0.556234837
r:0:c:c:c - 0.622758448
r:0:c:c:c:c - 0.584665537
r:0:c:c:c:c:c - 0.642597258
r:0:c:c:c:c:c:c - 0.506457746
r:0:c:c:c:c:c:b25 - 0.186237186
r:0:c:c:c:c:c:b25:f - 0.511383116
r:0:c:c:c:c:c:b25:c - 0.339086205
r:0:c:c:c:c:c:b25:b100 - 0.149530336
r:0:c:c:c:c:c:b25:b100:f - 0.586926997
r:0:c:c:c:c:c:b25:b100:c - 0.403067619
r:0:c:c:c:c:c:b25:b100:b288 - 0.00643280568
r:0:c:c:c:c:c:b25:b100:b288:f - 0.571803987
r:0:c:c:c:c:c:b25:b100:b288:c - 0.269032568
r:0:c:c:c:c:c:b25:b100:b288:b975 - 0.159163967
r:0:c:c:c:c:c:b25:b100:b288:b975:f - 0.447681218
r:0:c:c:c:c:c:b25:b100:b288:b975:c - 0.552319348
r:0:c:c:c:c:c:b25:b100:b975 - 0.00357293338
r:0:c:c:c:c:c:b25:b100:b975:f - 0.823555648
r:0:c:c:c:c:c:b25:b100:b975:c - 0.176445186
r:0:c:c:c:c:c:b35 - 0.163510829
r:0:c:c:c:c:c:b35:f - 0.577726126
r:0:c:c:c:c:c:b35:c - 0.297616154
r:0:c:c:c:c:c:b35:b125 - 0.124657474
r:0:c:c:c:c:c:b35:b125:f - 0.616348565
r:0:c:c:c:c:c:b35:b125:c - 0.347242206
r:0:c:c:c:c:c:b35:b125:b350 - 0.0139344092
r:0:c:c:c:c:c:b35:b125:b350:f - 0.596405625
r:0:c:c:c:c:c:b35:b125:b350:c - 0.284006149
r:0:c:c:c:c:c:b35:b125:b350:b975 - 0.119588435
r:0:c:c:c:c:c:b35:b125:b350:b975:f - 0.568655491
r:0:c:c:c:c:c:b35:b125:b350:b975:c - 0.431345224
r:0:c:c:c:c:c:b35:b125:b975 - 0.0224743038
r:0:c:c:c:c:c:b35:b125:b975:f - 0.787277222
r:0:c:c:c:c:c:b35:b125:b975:c - 0.212723687
r:0:c:c:c:c:c:b50 - 0.0992782488
r:0:c:c:c:c:c:b50:f - 0.640697241
r:0:c:c:c:c:c:b50:c - 0.266218096
r:0:c:c:c:c:c:b50:b162 - 0.093084842
r:0:c:c:c:c:c:b50:b162:f - 0.64249438
r:0:c:c:c:c:c:b50:b162:c - 0.310443997
r:0:c:c:c:c:c:b50:b162:b442 - 0.0128561379
r:0:c:c:c:c:c:b50:b162:b442:f - 0.603180826
r:0:c:c:c:c:c:b50:b162:b442:c - 0.249404132
r:0:c:c:c:c:c:b50:b162:b442:b975 - 0.147415295
r:0:c:c:c:c:c:b50:b162:b442:b975:f - 0.489268303
r:0:c:c:c:c:c:b50:b162:b442:b975:c - 0.510730684
r:0:c:c:c:c:c:b50:b162:b975 - 0.0342040099
r:0:c:c:c:c:c:b50:b162:b975:f - 0.732726455
