stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 0.0378544554
r:0:c:c - 0.987655818
r:0:c:c:c - 0.038537275
r:0:c:c:c:c - 0.670081377
r:0:c:c:c:c:c - 0.613191724
r:0:c:c:c:c:c:c - 0.65400821
r:0:c:c:c:c:c:b290 - 0.0243410561
r:0:c:c:c:c:c:b290:f - 0.160355955
r:0:c:c:c:c:c:b290:c - 0.527169704
r:0:c:c:c:c:c:b290:b900 - 0.312474072
r:0:c:c:c:c:c:b290:b900:f - 0.432558239
r:0:c:c:c:c:c:b290:b900:c - 0.567442596
r:0:c:c:c:c:c:b500 - 0.0865248069
r:0:c:c:c:c:c:b500:f - 0.314400136
r:0:c:c:c:c:c:b500:c - 0.39946571
r:0:c:c:c:c:c:b500:b900 - 0.286134273
r:0:c:c:c:c:c:b500:b900:f - 0.372153252
r:0:c:c:c:c:c:b500:b900:c - 0.627847731
r:0:c:c:c:c:c:b900 - 0.235126078
r:0:c:c:c:c:c:b900:f - 0.482861936
r:0:c:c:c:c:c:b900:c - 0.517136931
r:0:c:c:c:c:b290 - 0.0928864479
r:0:c:c:c:c:b290:f - 0.523828745
r:0:c:c:c:c:b290:c - 0.256228089
r:0:c:c:c:c:b290:b900 - 0.219943434
r:0:c:c:c:c:b290:b900:f - 0.418008655
r:0:c:c:c:c:b290:b900:c - 0.581990778
r:0:c:c:c:c:b500 - 0.0736320466
r:0:c:c:c:c:b500:f - 0.583658636
r:0:c:c:c:c:b500:c - 0.235021189
r:0:c:c:c:c:b500:b900 - 0.181320399
r:0:c:c:c:c:b500:b900:f - 0.369851112
r:0:c:c:c:c:b500:b900:c - 0.630148947
r:0:c:c:c:c:b900 - 0.220289484
r:0:c:c:c:c:b900:f - 0.684129119
r:0:c:c:c:c:b900:c - 0.315870315
r:0:c:c:c:b290 - 0.267019808
r:0:c:c:c:b290:f - 0.231952608
r:0:c:c:c:b290:c - 0.642353833
r:0:c:c:c:b290:c:c - 0.805232227
r:0:c:c:c:b290:c:c:c - 0.279112816
r:0:c:c:c:b290:c:c:b900 - 0.720887661
r:0:c:c:c:b290:c:c:b900:f - 0.309216827
r:0:c:c:c:b290:c:c:b900:c - 0.690783739
r:0:c:c:c:b290:c:b900 - 0.194767475
r:0:c:c:c:b290:c:b900:f - 0.402754515
r:0:c:c:c:b290:c:b900:c - 0.597245693
r:0:c:c:c:b290:b900 - 0.125693873
r:0:c:c:c:b290:b900:f - 0.324017018
r:0:c:c:c:b290:b900:c - 0.675983191
r:0:c:c:c:b500 - 0.0553354807
r:0:c:c:c:b500:f - 0.359757572
r:0:c:c:c:b500:c - 0.299610943
r:0:c:c:c:b500:c:c - 0.605774462
r:0:c:c:c:b500:c:c:c - 0.264501661
r:0:c:c:c:b500:c:c:b900 - 0.73549819
r:0:c:c:c:b500:c:c:b900:f - 0.193054333
r:0:c:c:c:b500:c:c:b900:c - 0.806946039
