stdoutredi ok!
r:0:c:b86:c:b222:c:c - 0.341416806
r:0:c:b86:c:b222:c:c:c - 0.298104137
r:0:c:b86:c:b222:c:c:b451 - 0.701895297
r:0:c:b86:c:b222:c:c:b451:f - 0.49525398
r:0:c:b86:c:b222:c:c:b451:c - 0.504747331
r:0:c:b86:c:b222:c:b451 - 0.658582509
r:0:c:b86:c:b222:c:b451:f - 0.277448744
r:0:c:b86:c:b222:c:b451:c - 0.722551525
r:0:c:b86:c:b222:b451 - 0.323869884
r:0:c:b86:c:b222:b451:f - 0.260964453
r:0:c:b86:c:b222:b451:c - 0.739035368
r:0:c:b86:c:b451 - 0.0418422185
r:0:c:b86:c:b451:f - 0.383528262
r:0:c:b86:c:b451:c - 0.616471529
r:0:c:b86:b451 - 0.215844855
r:0:c:b86:b451:f - 0.388740361
r:0:c:b86:b451:c - 0.611259401
r:0:c:b149 - 0.00458113523
r:0:c:b149:f - 0.517024279
r:0:c:b149:c - 0.071336925
r:0:c:b149:c:c - 0.71165061
r:0:c:b149:c:c:c - 0.61151886
r:0:c:b149:c:c:c:c - 0.679799557
r:0:c:b149:c:c:c:c:c - 0.403281569
r:0:c:b149:c:c:c:c:b451 - 0.596718073
r:0:c:b149:c:c:c:c:b451:f - 0.393769354
r:0:c:b149:c:c:c:c:b451:c - 0.606229961
r:0:c:b149:c:c:c:b451 - 0.320199788
r:0:c:b149:c:c:c:b451:f - 0.424310088
r:0:c:b149:c:c:c:b451:c - 0.575690448
r:0:c:b149:c:c:b451 - 0.388482183
r:0:c:b149:c:c:b451:f - 0.348555654
r:0:c:b149:c:c:b451:c - 0.651444197
r:0:c:b149:c:b451 - 0.28834936
r:0:c:b149:c:b451:f - 0.309510231
r:0:c:b149:c:b451:c - 0.690490007
r:0:c:b149:b451 - 0.411638826
r:0:c:b149:b451:f - 0.291605681
r:0:c:b149:b451:c - 0.708394945
r:0:c:b194 - 0.00262063672
r:0:c:b194:f - 0.566462338
r:0:c:b194:c - 0.0029298244
r:0:c:b194:c:c - 0.202912256
r:0:c:b194:c:c:c - 0.398531437
r:0:c:b194:c:c:c:c - 0.514502764
r:0:c:b194:c:c:c:c:c - 0.306238174
r:0:c:b194:c:c:c:c:b451 - 0.693762302
r:0:c:b194:c:c:c:c:b451:f - 0.456400216
r:0:c:b194:c:c:c:c:b451:c - 0.543599427
r:0:c:b194:c:c:c:b451 - 0.485496908
r:0:c:b194:c:c:c:b451:f - 0.307639003
r:0:c:b194:c:c:c:b451:c - 0.692361057
r:0:c:b194:c:c:b451 - 0.601468921
r:0:c:b194:c:c:b451:f - 0.348401994
r:0:c:b194:c:c:b451:c - 0.651598275
r:0:c:b194:c:b451 - 0.797087848
r:0:c:b194:c:b451:f - 0.171225071
r:0:c:b194:c:b451:c - 0.828775287
r:0:c:b194:b451 - 0.430607766
r:0:c:b194:b451:f - 0.131727919
r:0:c:b194:b451:c - 0.868272543
r:0:c:b451 - 0.0108426949
r:0:c:b451:f - 0.572564363
r:0:c:b451:c - 0.427435488
r:0:b86 - 0.00508153113
r:0:b86:f - 0.08508531
r:0:b86:c - 0.785577059
r:0:b86:c:c - 0.552166045
r:0:b86:c:c:c - 0.494423568
r:0:b86:c:c:c:c - 0.604837418
r:0:b86:c:c:c:c:c - 0.431835085
r:0:b86:c:c:c:c:b222 - 0.0255192742
r:0:b86:c:c:c:c:b222:f - 0.503211796
r:0:b86:c:c:c:c:b222:c - 0.330470383
r:0:b86:c:c:c:c:b222:b451 - 0.16631794
r:0:b86:c:c:c:c:b222:b451:f - 0.406229496
r:0:b86:c:c:c:c:b222:b451:c - 0.593770266
r:0:b86:c:c:c:c:b451 - 0.54264611
r:0:b86:c:c:c:c:b451:f - 0.649176061
r:0:b86:c:c:c:c:b451:c - 0.350824118
r:0:b86:c:c:c:b222 - 0.193999574
r:0:b86:c:c:c:b222:f - 0.246302798
r:0:b86:c:c:c:b222:c - 0.339144677
r:0:b86:c:c:c:b222:b451 - 0.414552063
r:0:b86:c:c:c:b222:b451:f - 0.394588709
r:0:b86:c:c:c:b222:b451:c - 0.605412066
r:0:b86:c:c:c:b451 - 0.201161936
r:0:b86:c:c:c:b451:f - 0.464756906
r:0:b86:c:c:c:b451:c - 0.535243094
r:0:b86:c:c:b222 - 0.479210258
r:0:b86:c:c:b222:f - 0.397094965
r:0:b86:c:c:b222:c - 0.392169774
r:0:b86:c:c:b222:c:c - 0.886480272
r:0:b86:c:c:b222:c:c:c - 0.23445484
r:0:b86:c:c:b222:c:c:b451 - 0.765545249
r:0:b86:c:c:b222:c:c:b451:f - 0.29323101
r:0:b86:c:c:b222:c:c:b451:c - 0.706770241
r:0:b86:c:c:b222:c:b451 - 0.11351981
r:0:b86:c:c:b222:c:b451:f - 0.298144996
r:0:b86:c:c:b222:c:b451:c - 0.7018556
