stdoutredi ok!
r:0:c:c:b86:c:b222:b451:c - 0.599376023
r:0:c:c:b86:c:b451 - 0.305034339
r:0:c:c:b86:c:b451:f - 0.471404105
r:0:c:c:b86:c:b451:c - 0.528596342
r:0:c:c:b86:b451 - 0.114252612
r:0:c:c:b86:b451:f - 0.480061978
r:0:c:c:b86:b451:c - 0.519938052
r:0:c:c:b149 - 0.11356584
r:0:c:c:b149:f - 0.303581625
r:0:c:c:b149:c - 0.588772357
r:0:c:c:b149:c:c - 0.394146949
r:0:c:c:b149:c:c:c - 0.369220883
r:0:c:c:b149:c:c:b451 - 0.630778134
r:0:c:c:b149:c:c:b451:f - 0.590246499
r:0:c:c:b149:c:c:b451:c - 0.409754038
r:0:c:c:b149:c:b451 - 0.605853021
r:0:c:c:b149:c:b451:f - 0.370807946
r:0:c:c:b149:c:b451:c - 0.629192531
r:0:c:c:b149:b451 - 0.107646026
r:0:c:c:b149:b451:f - 0.376641393
r:0:c:c:b149:b451:c - 0.623358309
r:0:c:c:b194 - 0.0764580294
r:0:c:c:b194:f - 0.386655867
r:0:c:c:b194:c - 0.472272724
r:0:c:c:b194:c:c - 0.375891179
r:0:c:c:b194:c:c:c - 0.296699435
r:0:c:c:b194:c:c:b451 - 0.703300178
r:0:c:c:b194:c:c:b451:f - 0.57376349
r:0:c:c:b194:c:c:b451:c - 0.42623648
r:0:c:c:b194:c:b451 - 0.624110281
r:0:c:c:b194:c:b451:f - 0.315402687
r:0:c:c:b194:c:b451:c - 0.684596539
r:0:c:c:b194:b451 - 0.141070724
r:0:c:c:b194:b451:f - 0.27857101
r:0:c:c:b194:b451:c - 0.72142899
r:0:c:c:b451 - 0.00479807798
r:0:c:c:b451:f - 0.540252864
r:0:c:c:b451:c - 0.459746897
r:0:c:b86 - 0.78554976
r:0:c:b86:f - 0.396684706
r:0:c:b86:c - 0.387470365
r:0:c:b86:c:c - 0.921166539
r:0:c:b86:c:c:c - 0.390167981
r:0:c:b86:c:c:c:c - 0.516588092
r:0:c:b86:c:c:c:c:c - 0.504867554
r:0:c:b86:c:c:c:c:b222 - 0.0180538055
r:0:c:b86:c:c:c:c:b222:f - 0.339579254
r:0:c:b86:c:c:c:c:b222:c - 0.424068153
r:0:c:b86:c:c:c:c:b222:b451 - 0.236351818
r:0:c:b86:c:c:c:c:b222:b451:f - 0.406782329
r:0:c:b86:c:c:c:c:b222:b451:c - 0.593216896
r:0:c:b86:c:c:c:c:b451 - 0.477078438
r:0:c:b86:c:c:c:c:b451:f - 0.504987478
r:0:c:b86:c:c:c:c:b451:c - 0.495013326
r:0:c:b86:c:c:c:b222 - 0.209909275
r:0:c:b86:c:c:c:b222:f - 0.315786093
r:0:c:b86:c:c:c:b222:c - 0.304940462
r:0:c:b86:c:c:c:b222:b451 - 0.379273593
r:0:c:b86:c:c:c:b222:b451:f - 0.385441482
r:0:c:b86:c:c:c:b222:b451:c - 0.61455822
r:0:c:b86:c:c:c:b451 - 0.273502022
r:0:c:b86:c:c:c:b451:f - 0.519273698
r:0:c:b86:c:c:c:b451:c - 0.48072657
r:0:c:b86:c:c:b222 - 0.580307305
r:0:c:b86:c:c:b222:f - 0.246567667
r:0:c:b86:c:c:b222:c - 0.56188643
r:0:c:b86:c:c:b222:c:c - 0.866594195
r:0:c:b86:c:c:b222:c:c:c - 0.224007934
r:0:c:b86:c:c:b222:c:c:b451 - 0.775991857
r:0:c:b86:c:c:b222:c:c:b451:f - 0.290418625
r:0:c:b86:c:c:b222:c:c:b451:c - 0.709580898
r:0:c:b86:c:c:b222:c:b451 - 0.133406773
r:0:c:b86:c:c:b222:c:b451:f - 0.284326792
r:0:c:b86:c:c:b222:c:b451:c - 0.715672374
r:0:c:b86:c:c:b222:b451 - 0.191545561
r:0:c:b86:c:c:b222:b451:f - 0.257030845
r:0:c:b86:c:c:b222:b451:c - 0.742969155
r:0:c:b86:c:c:b451 - 0.0295245554
r:0:c:b86:c:c:b451:f - 0.41554758
r:0:c:b86:c:c:b451:c - 0.584452331
r:0:c:b86:c:b222 - 0.0369914733
r:0:c:b86:c:b222:f - 0.239754081
r:0:c:b86:c:b222:c - 0.436376005
