stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 0.0926725119
r:0:c:c - 0.513140678
r:0:c:c:c - 0.694287896
r:0:c:c:c:c - 0.603536844
r:0:c:c:c:c:c - 0.6314376
r:0:c:c:c:c:c:c - 0.578260422
r:0:c:c:c:c:c:b100 - 0.129707679
r:0:c:c:c:c:c:b100:f - 0.38960588
r:0:c:c:c:c:c:b100:c - 0.442830175
r:0:c:c:c:c:c:b100:b300 - 0.0437251665
r:0:c:c:c:c:c:b100:b300:f - 0.505089521
r:0:c:c:c:c:c:b100:b300:c - 0.343646765
r:0:c:c:c:c:c:b100:b300:b900 - 0.151263535
r:0:c:c:c:c:c:b100:b300:b900:f - 0.578223228
r:0:c:c:c:c:c:b100:b300:b900:c - 0.421776861
r:0:c:c:c:c:c:b100:b900 - 0.123838775
r:0:c:c:c:c:c:b100:b900:f - 0.759318829
r:0:c:c:c:c:c:b100:b900:c - 0.240681052
r:0:c:c:c:c:c:b130 - 0.159787148
r:0:c:c:c:c:c:b130:f - 0.446567923
r:0:c:c:c:c:c:b130:c - 0.398603141
r:0:c:c:c:c:c:b130:b360 - 0.0286900662
r:0:c:c:c:c:c:b130:b360:f - 0.519373357
r:0:c:c:c:c:c:b130:b360:c - 0.328143388
r:0:c:c:c:c:c:b130:b360:b900 - 0.152483493
r:0:c:c:c:c:c:b130:b360:b900:f - 0.531706035
r:0:c:c:c:c:c:b130:b360:b900:c - 0.468294054
r:0:c:c:c:c:c:b130:b900 - 0.126138479
r:0:c:c:c:c:c:b130:b900:f - 0.739258587
r:0:c:c:c:c:c:b130:b900:c - 0.260740697
r:0:c:c:c:c:c:b200 - 0.0865097493
r:0:c:c:c:c:c:b200:f - 0.544328928
r:0:c:c:c:c:c:b200:c - 0.325613201
r:0:c:c:c:c:c:b200:b500 - 0.0163225308
r:0:c:c:c:c:c:b200:b500:f - 0.539904177
r:0:c:c:c:c:c:b200:b500:c - 0.308875233
r:0:c:c:c:c:c:b200:b500:b900 - 0.151220471
r:0:c:c:c:c:c:b200:b500:b900:f - 0.42528072
r:0:c:c:c:c:c:b200:b500:b900:c - 0.57471931
r:0:c:c:c:c:c:b200:b900 - 0.113734812
r:0:c:c:c:c:c:b200:b900:f - 0.699071705
r:0:c:c:c:c:c:b200:b900:c - 0.300930142
r:0:c:c:c:c:c:b300 - 0.0353405327
r:0:c:c:c:c:c:b300:f - 0.64248085
r:0:c:c:c:c:c:b300:c - 0.268241107
r:0:c:c:c:c:c:b300:b900 - 0.0892774835
r:0:c:c:c:c:c:b300:b900:f - 0.655333281
r:0:c:c:c:c:c:b300:b900:c - 0.34466657
r:0:c:c:c:c:c:b900 - 0.0103955958
r:0:c:c:c:c:c:b900:f - 0.843477011
r:0:c:c:c:c:c:b900:c - 0.156521887
r:0:c:c:c:c:b100 - 0.179079935
r:0:c:c:c:c:b100:f - 0.418868273
r:0:c:c:c:c:b100:c - 0.425726593
