stdoutredi ok!
r - 1
r:0 - 1
r:0:c - 0.99558264
r:0:c:c - 0.28125909
r:0:c:c:c - 0.632438242
r:0:c:c:c:c - 0.667182207
r:0:c:c:c:c:c - 0.541149795
r:0:c:c:c:c:c:c - 0.50266248
r:0:c:c:c:c:c:b14 - 0.023694545
r:0:c:c:c:c:c:b14:f - 0.2848441
r:0:c:c:c:c:c:b14:c - 0.507106841
r:0:c:c:c:c:c:b14:b72 - 0.208047897
r:0:c:c:c:c:c:b14:b72:f - 0.551155508
r:0:c:c:c:c:c:b14:b72:c - 0.445158482
r:0:c:c:c:c:c:b14:b72:b218 - 0.00368533423
r:0:c:c:c:c:c:b14:b72:b218:f - 0.604442358
r:0:c:c:c:c:c:b14:b72:b218:c - 0.318026692
r:0:c:c:c:c:c:b14:b72:b218:b582 - 0.0313197039
r:0:c:c:c:c:c:b14:b72:b218:b582:f - 0.649679065
r:0:c:c:c:c:c:b14:b72:b218:b582:c - 0.179103225
r:0:c:c:c:c:c:b14:b72:b218:b582:b1375 - 0.17121923
r:0:c:c:c:c:c:b14:b72:b218:b582:b1375:f - 0.344756544
r:0:c:c:c:c:c:b14:b72:b218:b582:b1375:c - 0.655242026
r:0:c:c:c:c:c:b14:b72:b218:b1375 - 0.0462114327
r:0:c:c:c:c:c:b14:b72:b218:b1375:f - 0.742159069
r:0:c:c:c:c:c:b14:b72:b218:b1375:c - 0.257842571
r:0:c:c:c:c:c:b25 - 0.192169815
r:0:c:c:c:c:c:b25:f - 0.401888937
r:0:c:c:c:c:c:b25:c - 0.422502428
r:0:c:c:c:c:c:b25:b100 - 0.175608918
r:0:c:c:c:c:c:b25:b100:f - 0.595556676
r:0:c:c:c:c:c:b25:b100:c - 0.386223525
r:0:c:c:c:c:c:b25:b100:b288 - 0.0182193611
r:0:c:c:c:c:c:b25:b100:b288:f - 0.621747375
r:0:c:c:c:c:c:b25:b100:b288:c - 0.293827057
r:0:c:c:c:c:c:b25:b100:b288:b758 - 0.0230921395
r:0:c:c:c:c:c:b25:b100:b288:b758:f - 0.605955184
r:0:c:c:c:c:c:b25:b100:b288:b758:c - 0.169740662
r:0:c:c:c:c:c:b25:b100:b288:b758:b1375 - 0.224303663
r:0:c:c:c:c:c:b25:b100:b288:b758:b1375:f - 0.212987408
r:0:c:c:c:c:c:b25:b100:b288:b758:b1375:c - 0.787013412
r:0:c:c:c:c:c:b25:b100:b288:b1375 - 0.0613340661
r:0:c:c:c:c:c:b25:b100:b288:b1375:f - 0.685187697
r:0:c:c:c:c:c:b25:b100:b288:b1375:c - 0.314812183
r:0:c:c:c:c:c:b35 - 0.14906317
r:0:c:c:c:c:c:b35:f - 0.47820574
r:0:c:c:c:c:c:b35:c - 0.3779957
r:0:c:c:c:c:c:b35:b125 - 0.14379853
r:0:c:c:c:c:c:b35:b125:f - 0.617477953
r:0:c:c:c:c:c:b35:b125:c - 0.319832116
