stdoutredi ok!
r:0:c:c:c:c:b100:b300:b700:f - 0.525360882
r:0:c:c:c:c:b100:b300:b700:c - 0.315280139
r:0:c:c:c:c:b100:b300:b700:b1300 - 0.159360334
r:0:c:c:c:c:b100:b300:b700:b1300:f - 0.460358351
r:0:c:c:c:c:b100:b300:b700:b1300:c - 0.539642334
r:0:c:c:c:c:b100:b300:b1300 - 0.111556068
r:0:c:c:c:c:b100:b300:b1300:f - 0.675299406
r:0:c:c:c:c:b100:b300:b1300:c - 0.3246997
r:0:c:c:c:c:b100:b1300 - 0.0395911522
r:0:c:c:c:c:b100:b1300:f - 0.824536204
r:0:c:c:c:c:b100:b1300:c - 0.175463662
r:0:c:c:c:c:b130 - 0.0616878383
r:0:c:c:c:c:b130:f - 0.439446539
r:0:c:c:c:c:b130:c - 0.433233798
r:0:c:c:c:c:b130:b360 - 0.0822678953
r:0:c:c:c:c:b130:b360:f - 0.545463264
r:0:c:c:c:c:b130:b360:c - 0.331450641
r:0:c:c:c:c:b130:b360:b820 - 0.0090694055
r:0:c:c:c:c:b130:b360:b820:f - 0.521776736
r:0:c:c:c:c:b130:b360:b820:c - 0.322833002
r:0:c:c:c:c:b130:b360:b820:b1300 - 0.155391365
r:0:c:c:c:c:b130:b360:b820:b1300:f - 0.407698244
r:0:c:c:c:c:b130:b360:b820:b1300:c - 0.592300415
r:0:c:c:c:c:b130:b360:b1300 - 0.114016481
r:0:c:c:c:c:b130:b360:b1300:f - 0.634024441
r:0:c:c:c:c:b130:b360:b1300:c - 0.365976602
r:0:c:c:c:c:b130:b1300 - 0.0450509787
r:0:c:c:c:c:b130:b1300:f - 0.812603712
r:0:c:c:c:c:b130:b1300:c - 0.187396228
r:0:c:c:c:c:b200 - 0.0490563363
r:0:c:c:c:c:b200:f - 0.544345498
r:0:c:c:c:c:b200:c - 0.369203687
r:0:c:c:c:c:b200:b500 - 0.0322941728
r:0:c:c:c:c:b200:b500:f - 0.589375377
r:0:c:c:c:c:b200:b500:c - 0.285778344
r:0:c:c:c:c:b200:b500:b1300 - 0.124846712
r:0:c:c:c:c:b200:b500:b1300:f - 0.551821828
r:0:c:c:c:c:b200:b500:b1300:c - 0.448179424
r:0:c:c:c:c:b200:b1300 - 0.0541561916
r:0:c:c:c:c:b200:b1300:f - 0.781704187
r:0:c:c:c:c:b200:b1300:c - 0.218296036
r:0:c:c:c:c:b300 - 0.0418666005
r:0:c:c:c:c:b300:f - 0.638338864
r:0:c:c:c:c:b300:c - 0.297268242
r:0:c:c:c:c:b300:b700 - 0.0110721961
r:0:c:c:c:c:b300:b700:f - 0.636204004
r:0:c:c:c:c:b300:b700:c - 0.241823047
r:0:c:c:c:c:b300:b700:b1300 - 0.121973962
r:0:c:c:c:c:b300:b700:b1300:f - 0.460924447
r:0:c:c:c:c:b300:b700:b1300:c - 0.539075673
r:0:c:c:c:c:b300:b1300 - 0.053319931
r:0:c:c:c:c:b300:b1300:f - 0.741612911
r:0:c:c:c:c:b300:b1300:c - 0.258388102
r:0:c:c:c:b58 - 0.0499178208
r:0:c:c:c:b58:f - 0.281096607
r:0:c:c:c:b58:c - 0.585346162
r:0:c:c:c:b58:c:c - 0.975115418
r:0:c:c:c:b58:c:c:c - 0.519662082
r:0:c:c:c:b58:c:c:b150 - 0.0103276018
r:0:c:c:c:b58:c:c:b150:f - 0.237511739
r:0:c:c:c:b58:c:c:b150:c - 0.570331395
r:0:c:c:c:b58:c:c:b150:b400 - 0.115211383
r:0:c:c:c:b58:c:c:b150:b400:f - 0.470238864
r:0:c:c:c:b58:c:c:b150:b400:c - 0.360098094
r:0:c:c:c:b58:c:c:b150:b400:b1300 - 0.169663861
r:0:c:c:c:b58:c:c:b150:b400:b1300:f - 0.613163471
r:0:c:c:c:b58:c:c:b150:b400:b1300:c - 0.386836618
r:0:c:c:c:b58:c:c:b150:b1300 - 0.0769465193
r:0:c:c:c:b58:c:c:b150:b1300:f - 0.766800761
r:0:c:c:c:b58:c:c:b150:b1300:c - 0.233198553
r:0:c:c:c:b58:c:c:b216 - 0.0568973273
r:0:c:c:c:b58:c:c:b216:f - 0.364975214
r:0:c:c:c:b58:c:c:b216:c - 0.487190723
r:0:c:c:c:b58:c:c:b216:b532 - 0.0507567935
r:0:c:c:c:b58:c:c:b216:b532:f - 0.514432549
r:0:c:c:c:b58:c:c:b216:b532:c - 0.313211292
r:0:c:c:c:b58:c:c:b216:b532:b1300 - 0.172355667
r:0:c:c:c:b58:c:c:b216:b532:b1300:f - 0.541719615
r:0:c:c:c:b58:c:c:b216:b532:b1300:c - 0.458280772
r:0:c:c:c:b58:c:c:b216:b1300 - 0.097077094
r:0:c:c:c:b58:c:c:b216:b1300:f - 0.739342809
r:0:c:c:c:b58:c:c:b216:b1300:c - 0.260657102
r:0:c:c:c:b58:c:c:b263 - 0.0949049443
r:0:c:c:c:b58:c:c:b263:f - 0.426298559
r:0:c:c:c:b58:c:c:b263:c - 0.444290549
r:0:c:c:c:b58:c:c:b263:b626 - 0.0294703823
r:0:c:c:c:b58:c:c:b263:b626:f - 0.539299011
r:0:c:c:c:b58:c:c:b263:b626:c - 0.29308337
r:0:c:c:c:b58:c:c:b263:b626:b1300 - 0.167616874
r:0:c:c:c:b58:c:c:b263:b626:b1300:f - 0.50476408
r:0:c:c:c:b58:c:c:b263:b626:b1300:c - 0.495235264
r:0:c:c:c:b58:c:c:b263:b1300 - 0.0999413505
r:0:c:c:c:b58:c:c:b263:b1300:f - 0.722249031
r:0:c:c:c:b58:c:c:b263:b1300:c - 0.27775085
r:0:c:c:c:b58:c:c:b374 - 0.143279001
r:0:c:c:c:b58:c:c:b374:f - 0.532143116
r:0:c:c:c:b58:c:c:b374:c - 0.365184218
r:0:c:c:c:b58:c:c:b374:b848 - 0.0105580837
r:0:c:c:c:b58:c:c:b374:b848:f - 0.58381772
r:0:c:c:c:b58:c:c:b374:b848:c - 0.257829219
