stdoutredi ok!
r:0:c:c:c:b174:b411:c:c - 0.375060856
r:0:c:c:c:b174:b411:c:c:c - 0.362087488
r:0:c:c:c:b174:b411:c:c:b1100 - 0.637914062
r:0:c:c:c:b174:b411:c:c:b1100:f - 0.535207689
r:0:c:c:c:b174:b411:c:c:b1100:c - 0.464790612
r:0:c:c:c:b174:b411:c:b1100 - 0.624939203
r:0:c:c:c:b174:b411:c:b1100:f - 0.383553714
r:0:c:c:c:b174:b411:c:b1100:c - 0.616445303
r:0:c:c:c:b174:b411:b1100 - 0.0452009961
r:0:c:c:c:b174:b411:b1100:f - 0.323182583
r:0:c:c:c:b174:b411:b1100:c - 0.676817298
r:0:c:c:c:b174:b1100 - 0.0361856148
r:0:c:c:c:b174:b1100:f - 0.549871027
r:0:c:c:c:b174:b1100:c - 0.450128466
r:0:c:c:c:b300 - 0.224128008
r:0:c:c:c:b300:f - 0.400696009
r:0:c:c:c:b300:c - 0.482214689
r:0:c:c:c:b300:c:c - 0.93487078
r:0:c:c:c:b300:c:c:c - 0.37646243
r:0:c:c:c:b300:c:c:b648 - 0.00767443515
r:0:c:c:c:b300:c:c:b648:f - 0.336484134
r:0:c:c:c:b300:c:c:b648:c - 0.425508291
r:0:c:c:c:b300:c:c:b648:b1100 - 0.238007635
r:0:c:c:c:b300:c:c:b648:b1100:f - 0.364390671
r:0:c:c:c:b300:c:c:b648:b1100:c - 0.635609567
r:0:c:c:c:b300:c:c:b1100 - 0.615862787
r:0:c:c:c:b300:c:c:b1100:f - 0.455961019
r:0:c:c:c:b300:c:c:b1100:c - 0.544039249
r:0:c:c:c:b300:c:b648 - 0.0169368759
r:0:c:c:c:b300:c:b648:f - 0.306361914
r:0:c:c:c:b300:c:b648:c - 0.264205635
r:0:c:c:c:b300:c:b648:b1100 - 0.429431051
r:0:c:c:c:b300:c:b648:b1100:f - 0.359859705
r:0:c:c:c:b300:c:b648:b1100:c - 0.640141428
r:0:c:c:c:b300:c:b1100 - 0.0481923893
r:0:c:c:c:b300:c:b1100:f - 0.490416855
r:0:c:c:c:b300:c:b1100:c - 0.509583235
r:0:c:c:c:b300:b600 - 0.0550502464
r:0:c:c:c:b300:b600:f - 0.37409398
r:0:c:c:c:b300:b600:c - 0.336111963
r:0:c:c:c:b300:b600:c:c - 0.285796493
r:0:c:c:c:b300:b600:c:c:c - 0.272058785
r:0:c:c:c:b300:b600:c:c:b1100 - 0.727940023
r:0:c:c:c:b300:b600:c:c:b1100:f - 0.449261695
r:0:c:c:c:b300:b600:c:c:b1100:c - 0.550739288
r:0:c:c:c:b300:b600:c:b1100 - 0.714204192
r:0:c:c:c:b300:b600:c:b1100:f - 0.299532384
r:0:c:c:c:b300:b600:c:b1100:c - 0.700466633
r:0:c:c:c:b300:b600:b1100 - 0.289793849
r:0:c:c:c:b300:b600:b1100:f - 0.146548912
r:0:c:c:c:b300:b600:b1100:c - 0.853451073
r:0:c:c:c:b300:b1100 - 0.062038824
r:0:c:c:c:b300:b1100:f - 0.459125996
r:0:c:c:c:b300:b1100:c - 0.540873945
r:0:c:c:c:b390 - 0.110696055
r:0:c:c:c:b390:f - 0.460215658
r:0:c:c:c:b390:c - 0.459948003
r:0:c:c:c:b390:c:c - 0.931791127
r:0:c:c:c:b390:c:c:c - 0.347091705
r:0:c:c:c:b390:c:c:b1100 - 0.652908385
r:0:c:c:c:b390:c:c:b1100:f - 0.379659235
r:0:c:c:c:b390:c:c:b1100:c - 0.620341778
r:0:c:c:c:b390:c:b1100 - 0.0682088658
r:0:c:c:c:b390:c:b1100:f - 0.452335119
r:0:c:c:c:b390:c:b1100:c - 0.547664642
r:0:c:c:c:b390:b1100 - 0.0798363611
r:0:c:c:c:b390:b1100:f - 0.42575857
r:0:c:c:c:b390:b1100:c - 0.574241519
r:0:c:c:c:b600 - 0.0040023434
r:0:c:c:c:b600:f - 0.586730361
r:0:c:c:c:b600:c - 0.116342828
r:0:c:c:c:b600:c:c - 0.782674432
r:0:c:c:c:b600:c:c:c - 0.30445987
r:0:c:c:c:b600:c:c:b1100 - 0.695539057
r:0:c:c:c:b600:c:c:b1100:f - 0.282797515
r:0:c:c:c:b600:c:c:b1100:c - 0.717203021
r:0:c:c:c:b600:c:b1100 - 0.217325509
r:0:c:c:c:b600:c:b1100:f - 0.341701716
r:0:c:c:c:b600:c:b1100:c - 0.658297777
r:0:c:c:c:b600:b1100 - 0.296926737
r:0:c:c:c:b600:b1100:f - 0.342225373
r:0:c:c:c:b600:b1100:c - 0.657774448
r:0:c:c:c:b1100 - 0.00185541215
r:0:c:c:c:b1100:f - 0.665202379
r:0:c:c:c:b1100:c - 0.33479771
r:0:c:c:b174 - 0.0889200941
r:0:c:c:b174:f - 0.221707329
r:0:c:c:b174:c - 0.600807846
r:0:c:c:b174:c:c - 0.520566165
r:0:c:c:b174:c:c:c - 0.497897327
r:0:c:c:b174:c:c:b449 - 0.00815958623
r:0:c:c:b174:c:c:b449:f - 0.346262574
r:0:c:c:b174:c:c:b449:c - 0.420970201
r:0:c:c:b174:c:c:b449:b1100 - 0.23276709
r:0:c:c:b174:c:c:b449:b1100:f - 0.466861606
r:0:c:c:b174:c:c:b449:b1100:c - 0.533138633
r:0:c:c:b174:c:c:b648 - 0.0618640743
r:0:c:c:b174:c:c:b648:f - 0.463790834
r:0:c:c:b174:c:c:b648:c - 0.318244845
r:0:c:c:b174:c:c:b648:b1100 - 0.217964053
r:0:c:c:b174:c:c:b648:b1100:f - 0.429867327
r:0:c:c:b174:c:c:b648:b1100:c - 0.570131898
r:0:c:c:b174:c:c:b1100 - 0.432078183
r:0:c:c:b174:c:c:b1100:f - 0.604279578
r:0:c:c:b174:c:c:b1100:c - 0.395720512
r:0:c:c:b174:c:b449 - 0.165785462
r:0:c:c:b174:c:b449:f - 0.260282636
r:0:c:c:b174:c:b449:c - 0.375785291
r:0:c:c:b174:c:b449:b1100 - 0.363931984
r:0:c:c:b174:c:b449:b1100:f - 0.454050571
r:0:c:c:b174:c:b449:b1100:c - 0.545949638
r:0:c:c:b174:c:b648 - 0.104537524
r:0:c:c:b174:c:b648:f - 0.38347286
r:0:c:c:b174:c:b648:c - 0.320760578
r:0:c:c:b174:c:b648:b1100 - 0.295767069
r:0:c:c:b174:c:b648:b1100:f - 0.416833252
r:0:c:c:b174:c:b648:b1100:c - 0.583168209
r:0:c:c:b174:c:b1100 - 0.209110096
r:0:c:c:b174:c:b1100:f - 0.541748643
r:0:c:c:b174:c:b1100:c - 0.458251536
r:0:c:c:b174:b411 - 0.130145013
r:0:c:c:b174:b411:f - 0.185616001
r:0:c:c:b174:b411:c - 0.627086759
r:0:c:c:b174:b411:c:c - 0.928026915
r:0:c:c:b174:b411:c:c:c - 0.27723062
r:0:c:c:b174:b411:c:c:b1100 - 0.72277087
r:0:c:c:b174:b411:c:c:b1100:f - 0.459096521
r:0:c:c:b174:b411:c:c:b1100:c - 0.540902376
r:0:c:c:b174:b411:c:b1100 - 0.0719738007
r:0:c:c:b174:b411:c:b1100:f - 0.368604988
r:0:c:c:b174:b411:c:b1100:c - 0.631394744
r:0:c:c:b174:b411:b1100 - 0.187297374
r:0:c:c:b174:b411:b1100:f - 0.36049962
r:0:c:c:b174:b411:b1100:c - 0.639499843
r:0:c:c:b174:b1100 - 0.047341045
r:0:c:c:b174:b1100:f - 0.526546776
r:0:c:c:b174:b1100:c - 0.473453283
r:0:c:c:b300 - 0.0871690065
r:0:c:c:b300:f - 0.341567039
r:0:c:c:b300:c - 0.585620224
r:0:c:c:b300:c:c - 0.385692537
r:0:c:c:b300:c:c:c - 0.40996784
r:0:c:c:b300:c:c:b648 - 0.0200285185
